Scheme Code,ISIN,Ticker,Company,Sector,Market Cap,Weight %
HDFC_TOP100,INE090A01021,ICICIBANK,ICICI Bank Ltd,Financial Services,Large Cap,8.8
HDFC_TOP100,INE040A01034,HDFCBANK,HDFC Bank Ltd,Financial Services,Large Cap,9.2
HDFC_TOP100,INE002A01018,RELIANCE,Reliance Industries Ltd,Energy / Oil & Gas,Large Cap,7.5
HDFC_TOP100,INE009A01021,INFY,Infosys Ltd,Information Technology,Large Cap,6.1
HDFC_TOP100,INE397D01024,BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Large Cap,4.5
HDFC_TOP100,INE018A01030,LT,Larsen & Toubro Ltd,Capital Goods,Large Cap,4.2
HDFC_TOP100,INE154A01025,ITC,ITC Ltd,Fast Moving Consumer Goods,Large Cap,3.8
HDFC_TOP100,INE467B01029,TCS,Tata Consultancy Services Ltd,Information Technology,Large Cap,3.4
HDFC_TOP100,INE733E01010,NTPC,NTPC Ltd,Power / Utilities,Large Cap,2.8
HDFC_TOP100,INE238A01034,AXISBANK,Axis Bank Ltd,Financial Services,Large Cap,3.2
HDFC_TOP100,INE062A01020,SBIN,State Bank of India,Financial Services,Large Cap,3.5
HDFC_TOP100,INE237A01028,KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services,Large Cap,2.9
HDFC_TOP100,INE044A01036,SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare,Large Cap,2.4
HDFC_TOP100,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,Financial Services,Large Cap,2.8
HDFC_TOP100,INE038A01020,HINDALCO,Hindalco Industries Ltd,Metals & Mining,Large Cap,1.9
ICICI_PRU_BLUECHIP,INE090A01021,ICICIBANK,ICICI Bank Ltd,Financial Services,Large Cap,9.1
ICICI_PRU_BLUECHIP,INE002A01018,RELIANCE,Reliance Industries Ltd,Energy / Oil & Gas,Large Cap,8.0
ICICI_PRU_BLUECHIP,INE009A01021,INFY,Infosys Ltd,Information Technology,Large Cap,6.8
ICICI_PRU_BLUECHIP,INE397D01024,BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Large Cap,5.0
ICICI_PRU_BLUECHIP,INE040A01034,HDFCBANK,HDFC Bank Ltd,Financial Services,Large Cap,8.5
ICICI_PRU_BLUECHIP,INE018A01030,LT,Larsen & Toubro Ltd,Capital Goods,Large Cap,5.1
ICICI_PRU_BLUECHIP,INE585B01010,MARUTI,Maruti Suzuki India Ltd,Automobile,Large Cap,3.6
ICICI_PRU_BLUECHIP,INE280A01028,TITAN,Titan Company Ltd,Consumer Durables,Large Cap,2.8
ICICI_PRU_BLUECHIP,INE481G01011,ULTRACEMCO,UltraTech Cement Ltd,Materials / Cement,Large Cap,2.9
ICICI_PRU_BLUECHIP,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,Financial Services,Large Cap,3.2
ICICI_PRU_BLUECHIP,INE062A01020,SBIN,State Bank of India,Financial Services,Large Cap,4.1
ICICI_PRU_BLUECHIP,INE075A01022,WIPRO,Wipro Ltd,Information Technology,Large Cap,2.2
ICICI_PRU_BLUECHIP,INE742F01042,ADANIPORTS,Adani Ports and SEZ Ltd,Services / Infrastructure,Large Cap,2.4
ICICI_PRU_BLUECHIP,INE044A01036,SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare,Large Cap,2.6
ICICI_PRU_BLUECHIP,INE021A01026,ASIANPAINT,Asian Paints Ltd,Consumer Durables,Large Cap,1.8
SBI_BLUECHIP,INE040A01034,HDFCBANK,HDFC Bank Ltd,Financial Services,Large Cap,8.9
SBI_BLUECHIP,INE090A01021,ICICIBANK,ICICI Bank Ltd,Financial Services,Large Cap,7.8
SBI_BLUECHIP,INE002A01018,RELIANCE,Reliance Industries Ltd,Energy / Oil & Gas,Large Cap,7.1
SBI_BLUECHIP,INE009A01021,INFY,Infosys Ltd,Information Technology,Large Cap,5.5
SBI_BLUECHIP,INE154A01025,ITC,ITC Ltd,Fast Moving Consumer Goods,Large Cap,4.2
SBI_BLUECHIP,INE018A01030,LT,Larsen & Toubro Ltd,Capital Goods,Large Cap,4.0
SBI_BLUECHIP,INE397D01024,BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Large Cap,4.1
SBI_BLUECHIP,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,Financial Services,Large Cap,3.2
SBI_BLUECHIP,INE752E01010,POWERGRID,Power Grid Corporation of India Ltd,Power / Utilities,Large Cap,2.7
SBI_BLUECHIP,INE522F01014,COALINDIA,Coal India Ltd,Metals & Mining,Large Cap,2.1
SBI_BLUECHIP,INE062A01020,SBIN,State Bank of India,Financial Services,Large Cap,3.8
SBI_BLUECHIP,INE733E01010,NTPC,NTPC Ltd,Power / Utilities,Large Cap,2.6
SBI_BLUECHIP,INE860A01027,HCLTECH,HCL Technologies Ltd,Information Technology,Large Cap,2.2
SBI_BLUECHIP,INE155A01022,TATAMOTORS,Tata Motors Ltd,Automobile,Large Cap,1.8
SBI_BLUECHIP,INE059A01026,CIPLA,Cipla Ltd,Healthcare,Large Cap,1.5
MIRAELARGE,INE040A01034,HDFCBANK,HDFC Bank Ltd,Financial Services,Large Cap,9.4
MIRAELARGE,INE090A01021,ICICIBANK,ICICI Bank Ltd,Financial Services,Large Cap,8.5
MIRAELARGE,INE002A01018,RELIANCE,Reliance Industries Ltd,Energy / Oil & Gas,Large Cap,7.8
MIRAELARGE,INE009A01021,INFY,Infosys Ltd,Information Technology,Large Cap,6.2
MIRAELARGE,INE467B01029,TCS,Tata Consultancy Services Ltd,Information Technology,Large Cap,4.1
MIRAELARGE,INE397D01024,BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Large Cap,4.3
MIRAELARGE,INE238A01034,AXISBANK,Axis Bank Ltd,Financial Services,Large Cap,3.8
MIRAELARGE,INE155A01022,TATAMOTORS,Tata Motors Ltd,Automobile,Large Cap,2.9
MIRAELARGE,INE044A01036,SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare,Large Cap,3.0
MIRAELARGE,INE018A01030,LT,Larsen & Toubro Ltd,Capital Goods,Large Cap,3.5
MIRAELARGE,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,Financial Services,Large Cap,3.2
MIRAELARGE,INE585B01010,MARUTI,Maruti Suzuki India Ltd,Automobile,Large Cap,2.8
MIRAELARGE,INE075A01022,WIPRO,Wipro Ltd,Information Technology,Large Cap,1.9
MIRAELARGE,INE066A01021,EICHERMOT,Eicher Motors Ltd,Automobile,Large Cap,2.1
MIRAELARGE,INE239A01024,NESTLEIND,Nestle India Ltd,Fast Moving Consumer Goods,Large Cap,1.6
AXIS_BLUECHIP,INE009A01021,INFY,Infosys Ltd,Information Technology,Large Cap,8.2
AXIS_BLUECHIP,INE040A01034,HDFCBANK,HDFC Bank Ltd,Financial Services,Large Cap,8.9
AXIS_BLUECHIP,INE090A01021,ICICIBANK,ICICI Bank Ltd,Financial Services,Large Cap,7.4
AXIS_BLUECHIP,INE467B01029,TCS,Tata Consultancy Services Ltd,Information Technology,Large Cap,5.8
AXIS_BLUECHIP,INE397D01024,BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Large Cap,4.6
AXIS_BLUECHIP,INE018A01030,LT,Larsen & Toubro Ltd,Capital Goods,Large Cap,3.9
AXIS_BLUECHIP,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,Financial Services,Large Cap,4.1
AXIS_BLUECHIP,INE237A01028,KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services,Large Cap,3.5
AXIS_BLUECHIP,INE280A01028,TITAN,Titan Company Ltd,Consumer Durables,Large Cap,3.2
AXIS_BLUECHIP,INE238A01034,AXISBANK,Axis Bank Ltd,Financial Services,Large Cap,2.8
AXIS_BLUECHIP,INE021A01026,ASIANPAINT,Asian Paints Ltd,Consumer Durables,Large Cap,2.5
AXIS_BLUECHIP,INE062A01020,SBIN,State Bank of India,Financial Services,Large Cap,3.0
AXIS_BLUECHIP,INE089A01023,DRREDDY,Dr. Reddy's Laboratories Ltd,Healthcare,Large Cap,1.9
AXIS_BLUECHIP,INE437A01024,APOLLOHOSP,Apollo Hospitals Enterprise Ltd,Healthcare,Large Cap,1.7
AXIS_BLUECHIP,INE860A01027,HCLTECH,HCL Technologies Ltd,Information Technology,Large Cap,2.1
NIPPON_LARGECAP,INE002A01018,RELIANCE,Reliance Industries Ltd,Energy / Oil & Gas,Large Cap,8.6
NIPPON_LARGECAP,INE040A01034,HDFCBANK,HDFC Bank Ltd,Financial Services,Large Cap,8.1
NIPPON_LARGECAP,INE090A01021,ICICIBANK,ICICI Bank Ltd,Financial Services,Large Cap,7.5
NIPPON_LARGECAP,INE009A01021,INFY,Infosys Ltd,Information Technology,Large Cap,5.8
NIPPON_LARGECAP,INE154A01025,ITC,ITC Ltd,Fast Moving Consumer Goods,Large Cap,4.5
NIPPON_LARGECAP,INE018A01030,LT,Larsen & Toubro Ltd,Capital Goods,Large Cap,4.0
NIPPON_LARGECAP,INE397D01024,BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Large Cap,4.2
NIPPON_LARGECAP,INE213A01029,ONGC,Oil & Natural Gas Corporation Ltd,Energy / Oil & Gas,Large Cap,3.1
NIPPON_LARGECAP,INE522F01014,COALINDIA,Coal India Ltd,Metals & Mining,Large Cap,2.8
NIPPON_LARGECAP,INE062A01020,SBIN,State Bank of India,Financial Services,Large Cap,3.5
NIPPON_LARGECAP,INE467B01029,TCS,Tata Consultancy Services Ltd,Information Technology,Large Cap,3.2
NIPPON_LARGECAP,INE029A01011,BPCL,Bharat Petroleum Corporation Ltd,Energy / Oil & Gas,Large Cap,2.1
NIPPON_LARGECAP,INE019A01038,JSWSTEEL,JSW Steel Ltd,Metals & Mining,Large Cap,2.0
